sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
0001	117914	110487	93.7	110129	108589	92.09	103606	87.87
0002	58757	54555	92.85	54280	52484	89.32	44793	76.23
0003	195228	183409	93.95	182622	178359	91.36	162381	83.18
0004	105727	99544	94.15	98819	97451	92.17	95781	90.59
0005	50270	46963	93.42	46794	45824	91.16	45061	89.64
0006	65929	61109	92.69	60913	60540	91.83	57897	87.82
0007	83711	78474	93.74	77437	74159	88.59	71175	85.02
0008	91004	85729	94.2	84578	80879	88.87	74129	81.46
0009	49894	44679	89.55	43568	41497	83.17	40041	80.25
0010	80776	76800	95.08	76429	74141	91.79	70646	87.46
0011	87444	82301	94.12	80831	78679	89.98	75896	86.79
0012	63823	59596	93.38	59502	57974	90.84	57445	90.01
0013	69825	64909	92.96	64549	61924	88.68	60388	86.48
0014	59582	56240	94.39	54891	52557	88.21	50080	84.05
0015	113130	106217	93.89	104686	101758	89.95	97036	85.77
0016	52928	49942	94.36	49895	49244	93.04	48228	91.12
0017	65242	60747	93.11	60420	59241	90.8	57911	88.76
0018	75863	70691	93.18	69589	66279	87.37	64959	85.63
0019	84126	77998	92.72	77727	73722	87.63	69763	82.93
0020	95718	89091	93.08	88904	87955	91.89	84237	88.01
0021	57395	52750	91.91	52690	51995	90.59	47618	82.97
0022	59720	56113	93.96	55845	54912	91.95	53749	90
0023	59051	55626	94.2	54366	52592	89.06	49783	84.31
0024	87289	82415	94.42	82047	80474	92.19	77430	88.71
0025	65273	59641	91.37	59547	56808	87.03	53696	82.26
0026	72994	67383	92.31	67155	66704	91.38	66567	91.2
0027	106542	100992	94.79	99504	96865	90.92	91366	85.76
0028	63555	59191	93.13	58952	58425	91.93	56945	89.6
0029	98214	92493	94.17	91288	87438	89.03	82340	83.84
0030	60479	56892	94.07	56663	55223	91.31	53378	88.26
0031	71220	66827	93.83	66768	66556	93.45	65897	92.53
0032	151357	142052	93.85	141474	135294	89.39	131041	86.58
0033	81708	76562	93.7	76266	74555	91.25	73792	90.31
0034	88442	82481	93.26	82419	81761	92.45	80624	91.16
