sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
0001	51179	47461	92.74	47187	47187	92.2
0002	59878	55513	92.71	55455	55334	92.41
0003	63940	60821	95.12	60699	60699	94.93
0004	71851	68150	94.85	68020	67336	93.72
0005	53679	44251	82.44	44107	42045	78.33
0006	67871	62956	92.76	62880	61779	91.02
0007	65531	61684	94.13	61399	60798	92.78
0008	80200	76139	94.94	76030	74259	92.59
0009	66630	63018	94.58	62232	59513	89.32
0010	71396	67381	94.38	67323	67077	93.95
0011	70818	67010	94.62	66549	65892	93.04
0012	58184	54595	93.83	54523	54523	93.71
0013	52077	49049	94.19	48943	48141	92.44
0014	65048	61551	94.62	61351	60891	93.61
0015	73683	69480	94.3	69094	68659	93.18
0016	56863	53220	93.59	53076	52784	92.83
0017	58690	55678	94.87	55582	55293	94.21
0018	80063	75613	94.44	75288	74053	92.49
0019	65789	61948	94.16	61851	59924	91.09
0020	74853	70072	93.61	69897	69690	93.1
0021	69889	65116	93.17	65049	65049	93.07
0022	64287	60997	94.88	60888	60835	94.63
0023	77964	74452	95.5	74012	72749	93.31
0024	65186	61687	94.63	61536	61440	94.25
0025	42485	39870	93.84	39780	39372	92.67
0026	69313	63591	91.74	63326	63110	91.05
0027	81995	77123	94.06	76620	75256	91.78
0028	58626	54921	93.68	54817	54521	93
0029	40286	37631	93.41	37232	37232	92.42
0030	76785	72929	94.98	72836	72585	94.53
0031	61024	58002	95.05	57871	48727	79.85
0032	47978	45024	93.84	44882	44436	92.62
0033	62703	58288	92.96	58091	58091	92.64
0034	62982	57557	91.39	57337	57337	91.04
0035	67816	62730	92.5	62569	62569	92.26
0036	93120	88105	94.61	87749	86948	93.37
0037	66154	61917	93.6	61253	60013	90.72
0038	72018	67924	94.32	67665	67166	93.26
0039	64018	60524	94.54	60337	60337	94.25
0040	47677	45032	94.45	44923	44709	93.77
0041	65407	61614	94.2	61471	60715	92.83
0042	61752	51184	82.89	50849	50849	82.34
0043	64880	60926	93.91	60761	60543	93.32
0044	53779	50384	93.69	50313	50127	93.21
0045	67268	61912	92.04	61682	61592	91.56
0046	69953	65369	93.45	65297	65024	92.95
0047	62348	58491	93.81	58374	58132	93.24
0048	54291	50703	93.39	50581	50581	93.17
0049	66503	57849	86.99	57666	57666	86.71
0050	55653	52491	94.32	52373	52373	94.11
0051	57240	54227	94.74	53381	52522	91.76
0052	51982	49434	95.1	49108	48806	93.89
0053	44229	41242	93.25	41145	41052	92.82
0054	65487	62170	94.93	61974	61366	93.71
0055	79358	75903	95.65	75529	75334	94.93
0056	65470	58372	89.16	58240	57659	88.07
0057	70008	65313	93.29	65124	65011	92.86
0058	59365	56383	94.98	56137	56089	94.48
0059	51663	47861	92.64	47805	47760	92.45
0060	57943	54672	94.35	54490	54460	93.99
0061	61074	57006	93.34	56964	55511	90.89
0062	32847	28487	86.73	28386	28386	86.42
0063	63964	60819	95.08	60612	60465	94.53
0064	21383	20054	93.78	19654	19612	91.72
0065	61572	51900	84.29	51694	51694	83.96
0066	57571	54794	95.18	54680	54567	94.78
0067	66421	63146	95.07	63055	62646	94.32
0068	66234	62635	94.57	62519	62519	94.39
0069	39370	37105	94.25	36564	36152	91.83
0070	63027	59153	93.85	58216	56098	89.01
0071	56918	53326	93.69	53220	53220	93.5
0072	50731	46343	91.35	46216	46216	91.1
0073	67468	57953	85.9	57721	57721	85.55
0074	50195	45540	90.73	45464	45264	90.18
0075	61343	54879	89.46	54667	54667	89.12
0076	70434	66321	94.16	65755	64123	91.04
0077	62713	58525	93.32	58151	58035	92.54
0078	72541	69185	95.37	68356	64289	88.62
0079	54096	50591	93.52	50396	50038	92.5
0080	47449	44414	93.6	44226	43982	92.69
0081	81863	76206	93.09	75879	75584	92.33
0082	74106	70619	95.29	70392	70222	94.76
0083	62828	58925	93.79	58553	57982	92.29
0084	57237	52943	92.5	52630	52529	91.77
0085	33339	31617	94.83	31526	31526	94.56
0086	46058	42971	93.3	42657	42614	92.52
0087	91427	85973	94.03	85560	85163	93.15
0088	68154	63871	93.72	63403	62812	92.16
0089	66543	61827	92.91	61653	61653	92.65
0090	75813	71029	93.69	70500	69021	91.04
0091	142497	133848	93.93	133392	132152	92.74
0092	55046	51132	92.89	50980	50810	92.3
0093	59743	56538	94.64	56372	55660	93.17
0094	67645	64071	94.72	63289	62234	92
0095	66492	61488	92.47	61345	58797	88.43
0096	76989	72074	93.62	71743	71607	93.01
0097	65889	61985	94.07	61580	61210	92.9
0098	60343	57105	94.63	56980	56980	94.43
0099	56000	46418	82.89	46364	46364	82.79
0100	55655	52309	93.99	50897	48066	86.36
0101	48800	45732	93.71	45663	44937	92.08
0102	51348	48638	94.72	48117	47415	92.34
0103	62278	58789	94.4	58323	57852	92.89
0104	74789	70234	93.91	69558	67705	90.53
0105	58246	53297	91.5	52914	52806	90.66
0106	54530	51107	93.72	50999	50999	93.52
0107	74294	70717	95.19	70588	70556	94.97
0108	58955	55814	94.67	55615	55533	94.2
