sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
0145	138623	137551	99.23	136878	131171	94.62	111881	80.71
0146	119966	119441	99.56	119091	117752	98.15	111888	93.27
0147	165108	164331	99.53	162544	158033	95.71	128921	78.08
0148	161254	160419	99.48	158679	154505	95.81	126475	78.43
0149	106016	105563	99.57	105516	105012	99.05	104390	98.47
0150	141114	140364	99.47	139787	137875	97.7	132546	93.93
0151	92036	91601	99.53	91513	89274	97	88085	95.71
0152	126321	125756	99.55	125506	121239	95.98	115367	91.33
0153	102382	101852	99.48	101531	100004	97.68	97005	94.75
0154	182422	181489	99.49	180215	163780	89.78	153814	84.32
0155	121489	120965	99.57	120512	117598	96.8	109187	89.87
0156	137876	137117	99.45	136025	131727	95.54	122979	89.2
0157	127021	126375	99.49	125692	120129	94.57	107874	84.93
0158	73675	73359	99.57	73140	72132	97.91	68603	93.12
0159	39917	39710	99.48	39597	39191	98.18	38297	95.94
0160	661627	658456	99.52	655412	631922	95.51	534483	80.78
0161	42369	42112	99.39	41958	41593	98.17	40073	94.58
0162	95107	94650	99.52	94134	91629	96.34	83147	87.42
0163	235668	234669	99.58	234030	232482	98.65	228111	96.79
0164	23992	23822	99.29	23146	5522	23.02	5517	23
0165	262641	261251	99.47	259771	251033	95.58	222243	84.62
0166	86060	85671	99.55	85467	84643	98.35	80629	93.69
0167	73205	72889	99.57	72666	71104	97.13	69241	94.59
0168	120927	120382	99.55	120100	116864	96.64	114119	94.37
0169	61324	61000	99.47	60752	59603	97.19	58688	95.7
0170	326108	324443	99.49	322411	313887	96.25	291373	89.35
0171	129322	128802	99.6	128252	126143	97.54	117211	90.64
0172	26612	26485	99.52	26341	25929	97.43	25929	97.43
0173	149891	149114	99.48	147844	141508	94.41	127726	85.21
0174	10	9	90	2	2	20	2	20
0175	104928	104420	99.52	104255	103596	98.73	102785	97.96
0176	1809167	1799788	99.48	1794631	1768963	97.78	1535631	84.88
0177	151287	150675	99.6	150272	147839	97.72	139388	92.13
0178	12964	12903	99.53	12852	12667	97.71	12415	95.77
0179	200680	199602	99.46	198769	186127	92.75	174364	86.89
0180	89896	89529	99.59	89373	88695	98.66	88555	98.51
0181	97188	96774	99.57	96696	88468	91.03	88274	90.83
0182	128196	127625	99.55	127305	125738	98.08	123456	96.3
0183	41740	41558	99.56	41514	41168	98.63	41168	98.63
0184	244347	242916	99.41	242091	231234	94.63	205213	83.98
0185	88912	88485	99.52	88313	87637	98.57	85028	95.63
0186	94879	94422	99.52	94236	92720	97.72	88820	93.61
0187	105803	105271	99.5	105028	104152	98.44	102764	97.13
0188	108507	107890	99.43	107746	104404	96.22	102218	94.2
0189	77447	77070	99.51	77025	76675	99	75262	97.18
0190	114187	113692	99.57	113480	111822	97.93	109462	95.86
0191	129617	129100	99.6	128500	127096	98.06	119692	92.34
0192	150468	149651	99.46	148355	143377	95.29	127644	84.83
0193	33245	33104	99.58	32891	32351	97.31	30994	93.23
0194	103411	102933	99.54	102611	100358	97.05	96102	92.93
0195	129688	129014	99.48	128205	121957	94.04	114320	88.15
0196	102885	102400	99.53	102091	100190	97.38	96587	93.88
0197	97038	96582	99.53	96314	94775	97.67	93689	96.55
0198	115985	115398	99.49	114790	112078	96.63	107074	92.32
0199	98190	97756	99.56	97575	96870	98.66	95624	97.39
0200	108267	107809	99.58	107447	105844	97.76	103723	95.8
0201	80262	79864	99.5	79377	78753	98.12	78314	97.57
0202	113606	113096	99.55	112967	112697	99.2	112084	98.66
0203	125716	125124	99.53	124767	121953	97.01	118485	94.25
0204	108594	108115	99.56	107700	106008	97.62	105447	97.1
0205	117300	116769	99.55	116155	110164	93.92	98699	84.14
0206	132710	132119	99.55	131500	127153	95.81	115709	87.19
0207	125871	125153	99.43	123864	119083	94.61	105558	83.86
0208	149117	148378	99.5	147625	142346	95.46	132856	89.1
0209	119280	118643	99.47	117986	113836	95.44	111597	93.56
0210	123716	123102	99.5	120908	113516	91.76	94767	76.6
0211	98673	98200	99.52	96108	92972	94.22	78565	79.62
0212	134496	133793	99.48	132769	126569	94.11	120662	89.71
0213	127076	126386	99.46	125552	121401	95.53	107498	84.59
0214	117673	117135	99.54	116405	114759	97.52	107799	91.61
0215	115278	114673	99.48	114272	112571	97.65	107445	93.21
