sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
0145	97584	96894	99.29	96761	96465	98.85
0146	72962	71129	97.49	70885	69293	94.97
0147	95123	94680	99.53	93958	91248	95.93
0148	123426	122706	99.42	122009	120199	97.39
0149	98589	97043	98.43	97009	96593	97.98
0150	96797	96382	99.57	96176	95315	98.47
0151	79445	78066	98.26	78000	77151	97.11
0152	105128	104626	99.52	104456	104343	99.25
0153	93576	92491	98.84	92339	92231	98.56
0154	115606	114990	99.47	114660	113466	98.15
0155	143216	141742	98.97	141701	139355	97.3
0156	105150	104645	99.52	104334	103175	98.12
0157	81863	78244	95.58	78044	78002	95.28
0158	92779	91100	98.19	90968	90637	97.69
0159	84499	81909	96.93	81725	80941	95.79
0160	161054	160214	99.48	159485	155974	96.85
0161	91098	90685	99.55	90658	90645	99.5
0162	77727	74743	96.16	74528	74297	95.59
0163	85274	84979	99.65	84890	84175	98.71
0164	103963	102603	98.69	101930	100655	96.82
0165	97645	97033	99.37	96880	96486	98.81
0166	92103	91534	99.38	91287	91271	99.1
0167	94537	93616	99.03	93500	93500	98.9
0168	89104	88641	99.48	88504	88501	99.32
0169	74869	74357	99.32	74292	74041	98.89
0170	123239	122715	99.57	122030	118487	96.14
0171	88581	88130	99.49	88084	88004	99.35
0172	74230	60781	81.88	60747	55276	74.47
0173	131220	130254	99.26	129881	128623	98.02
0174	94399	93777	99.34	93595	92754	98.26
0175	81775	79723	97.49	79571	79571	97.3
0176	117995	116966	99.13	116464	115670	98.03
0177	105340	104699	99.39	104587	104451	99.16
0178	82674	82046	99.24	81977	81715	98.84
0179	104811	104381	99.59	104116	102695	97.98
0180	86481	84385	97.58	84344	84344	97.53
0181	85024	82114	96.58	82076	81659	96.04
0182	92967	88106	94.77	88055	88055	94.72
0183	74601	60181	80.67	60128	60128	80.6
0184	94221	93408	99.14	93208	93208	98.92
0185	88788	87522	98.57	87485	87485	98.53
0186	91602	89476	97.68	89306	88347	96.45
0187	237	235	99.16	201	201	84.81
0188	75708	70223	92.76	70127	52580	69.45
0189	164	164	100	135	135	82.32
0190	99033	98675	99.64	98447	98052	99.01
